#player,starts throwing at,pro,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
Simon Lizotte,110,true,59:54,59:22,58:32,57:18,56:21,54:47,52:51,51:41,44:37,39:04,29:27,23:23,16:58,11:56,8:04,,,,,
Brodie Smith,70,true,59:59,59:49,59:42,59:15,58:50,58:26,56:08,54:47,44:01,37:57,33:04,30:58,20:25,19:56,,,,,,
Paige Pierce,90,true,59:59,59:54,59:40,59:28,59:09,58:48,58:38,57:45,52:18,38:43,13:25,2:12,,,,,,,,
Luke Callaghan - DGK,90,false,59:59,59:50,59:45,58:58,53:41,52:51,52:32,50:43,38:25,23:26,6:17,0:00,,,,,,,,
